"verb","sentence"
"improve","as a result of competitive pressure, and the need to improve security screening throughput 26to support the pace of our operations, it is unlikely that we will be able to capture all security-related costs through increased fares."
"support","as a result of competitive pressure, and the need to improve security screening throughput 26to support the pace of our operations, it is unlikely that we will be able to capture all security-related costs through increased fares."
"will","as a result of competitive pressure, and the need to improve security screening throughput 26to support the pace of our operations, it is unlikely that we will be able to capture all security-related costs through increased fares."
"capture","as a result of competitive pressure, and the need to improve security screening throughput 26to support the pace of our operations, it is unlikely that we will be able to capture all security-related costs through increased fares."
"related","as a result of competitive pressure, and the need to improve security screening throughput 26to support the pace of our operations, it is unlikely that we will be able to capture all security-related costs through increased fares."
"increased","as a result of competitive pressure, and the need to improve security screening throughput 26to support the pace of our operations, it is unlikely that we will be able to capture all security-related costs through increased fares."
"can","in addition, we cannot forecast what new security requirements may be imposed in the future, or their impact on our business."
"forecast","in addition, we cannot forecast what new security requirements may be imposed in the future, or their impact on our business."
"may","in addition, we cannot forecast what new security requirements may be imposed in the future, or their impact on our business."
"imposed","in addition, we cannot forecast what new security requirements may be imposed in the future, or their impact on our business."
"operate","we operate a global business with international operations that are subject to economic and political instability and have been, and in the future may continue to be, adversely affected by numerous events, circumstances or government actions beyond our control."
"may","we operate a global business with international operations that are subject to economic and political instability and have been, and in the future may continue to be, adversely affected by numerous events, circumstances or government actions beyond our control."
"continue","we operate a global business with international operations that are subject to economic and political instability and have been, and in the future may continue to be, adversely affected by numerous events, circumstances or government actions beyond our control."
"operate","we operate a global business with significant operations outside of the u. s.  our current international activities and prospects have been and in the future could be adversely affected by government policies, reversals or delays in the opening of foreign markets, increased competition in international markets, the performance of our alliance, joint business and codeshare partners in a given market, exchange controls or other restrictions on repatriation of funds, currency and political risks (including changes in exchange rates and currency devaluations), environmental regulation, increases in taxes and fees and changes in international government regulation of our operations, including the inability to obtain or retain needed route authorities and/or slots."
"could","we operate a global business with significant operations outside of the u. s.  our current international activities and prospects have been and in the future could be adversely affected by government policies, reversals or delays in the opening of foreign markets, increased competition in international markets, the performance of our alliance, joint business and codeshare partners in a given market, exchange controls or other restrictions on repatriation of funds, currency and political risks (including changes in exchange rates and currency devaluations), environmental regulation, increases in taxes and fees and changes in international government regulation of our operations, including the inability to obtain or retain needed route authorities and/or slots."
"increased","we operate a global business with significant operations outside of the u. s.  our current international activities and prospects have been and in the future could be adversely affected by government policies, reversals or delays in the opening of foreign markets, increased competition in international markets, the performance of our alliance, joint business and codeshare partners in a given market, exchange controls or other restrictions on repatriation of funds, currency and political risks (including changes in exchange rates and currency devaluations), environmental regulation, increases in taxes and fees and changes in international government regulation of our operations, including the inability to obtain or retain needed route authorities and/or slots."
"codeshare","we operate a global business with significant operations outside of the u. s.  our current international activities and prospects have been and in the future could be adversely affected by government policies, reversals or delays in the opening of foreign markets, increased competition in international markets, the performance of our alliance, joint business and codeshare partners in a given market, exchange controls or other restrictions on repatriation of funds, currency and political risks (including changes in exchange rates and currency devaluations), environmental regulation, increases in taxes and fees and changes in international government regulation of our operations, including the inability to obtain or retain needed route authorities and/or slots."
"given","we operate a global business with significant operations outside of the u. s.  our current international activities and prospects have been and in the future could be adversely affected by government policies, reversals or delays in the opening of foreign markets, increased competition in international markets, the performance of our alliance, joint business and codeshare partners in a given market, exchange controls or other restrictions on repatriation of funds, currency and political risks (including changes in exchange rates and currency devaluations), environmental regulation, increases in taxes and fees and changes in international government regulation of our operations, including the inability to obtain or retain needed route authorities and/or slots."
"including","we operate a global business with significant operations outside of the u. s.  our current international activities and prospects have been and in the future could be adversely affected by government policies, reversals or delays in the opening of foreign markets, increased competition in international markets, the performance of our alliance, joint business and codeshare partners in a given market, exchange controls or other restrictions on repatriation of funds, currency and political risks (including changes in exchange rates and currency devaluations), environmental regulation, increases in taxes and fees and changes in international government regulation of our operations, including the inability to obtain or retain needed route authorities and/or slots."
"increases","we operate a global business with significant operations outside of the u. s.  our current international activities and prospects have been and in the future could be adversely affected by government policies, reversals or delays in the opening of foreign markets, increased competition in international markets, the performance of our alliance, joint business and codeshare partners in a given market, exchange controls or other restrictions on repatriation of funds, currency and political risks (including changes in exchange rates and currency devaluations), environmental regulation, increases in taxes and fees and changes in international government regulation of our operations, including the inability to obtain or retain needed route authorities and/or slots."
"including","we operate a global business with significant operations outside of the u. s.  our current international activities and prospects have been and in the future could be adversely affected by government policies, reversals or delays in the opening of foreign markets, increased competition in international markets, the performance of our alliance, joint business and codeshare partners in a given market, exchange controls or other restrictions on repatriation of funds, currency and political risks (including changes in exchange rates and currency devaluations), environmental regulation, increases in taxes and fees and changes in international government regulation of our operations, including the inability to obtain or retain needed route authorities and/or slots."
"obtain","we operate a global business with significant operations outside of the u. s.  our current international activities and prospects have been and in the future could be adversely affected by government policies, reversals or delays in the opening of foreign markets, increased competition in international markets, the performance of our alliance, joint business and codeshare partners in a given market, exchange controls or other restrictions on repatriation of funds, currency and political risks (including changes in exchange rates and currency devaluations), environmental regulation, increases in taxes and fees and changes in international government regulation of our operations, including the inability to obtain or retain needed route authorities and/or slots."
"retain","we operate a global business with significant operations outside of the u. s.  our current international activities and prospects have been and in the future could be adversely affected by government policies, reversals or delays in the opening of foreign markets, increased competition in international markets, the performance of our alliance, joint business and codeshare partners in a given market, exchange controls or other restrictions on repatriation of funds, currency and political risks (including changes in exchange rates and currency devaluations), environmental regulation, increases in taxes and fees and changes in international government regulation of our operations, including the inability to obtain or retain needed route authorities and/or slots."
"needed","we operate a global business with significant operations outside of the u. s.  our current international activities and prospects have been and in the future could be adversely affected by government policies, reversals or delays in the opening of foreign markets, increased competition in international markets, the performance of our alliance, joint business and codeshare partners in a given market, exchange controls or other restrictions on repatriation of funds, currency and political risks (including changes in exchange rates and currency devaluations), environmental regulation, increases in taxes and fees and changes in international government regulation of our operations, including the inability to obtain or retain needed route authorities and/or slots."
"including","fluctuations in foreign currencies, including devaluations, exchange controls and other restrictions on the repatriation of funds, have significantly affected and may continue to significantly affect our operating performance, liquidity and the value of any cash held outside the u. s.  in local currency."
"may","fluctuations in foreign currencies, including devaluations, exchange controls and other restrictions on the repatriation of funds, have significantly affected and may continue to significantly affect our operating performance, liquidity and the value of any cash held outside the u. s.  in local currency."
"continue","fluctuations in foreign currencies, including devaluations, exchange controls and other restrictions on the repatriation of funds, have significantly affected and may continue to significantly affect our operating performance, liquidity and the value of any cash held outside the u. s.  in local currency."
"held","fluctuations in foreign currencies, including devaluations, exchange controls and other restrictions on the repatriation of funds, have significantly affected and may continue to significantly affect our operating performance, liquidity and the value of any cash held outside the u. s.  in local currency."
"including","such fluctuations in foreign currencies, including devaluations, cannot be predicted by us and can significantly affect the value of our assets located outside the united states."
"can","such fluctuations in foreign currencies, including devaluations, cannot be predicted by us and can significantly affect the value of our assets located outside the united states."
"predicted","such fluctuations in foreign currencies, including devaluations, cannot be predicted by us and can significantly affect the value of our assets located outside the united states."
"can","such fluctuations in foreign currencies, including devaluations, cannot be predicted by us and can significantly affect the value of our assets located outside the united states."
"located","such fluctuations in foreign currencies, including devaluations, cannot be predicted by us and can significantly affect the value of our assets located outside the united states."
"may","these conditions, as well as any further delays, devaluations or imposition of more stringent repatriation restrictions, may materially adversely affect our business, results of operations and financial condition."
"NONE","more generally, much of the demand for international air travel is the result of business travel in support of global trade."
"should","should protectionist governmental policies, such as increased tariff barriers, travel limitation and other actions, have the effect of reducing global commercial activity, the result could be a material decrease in the demand for international air travel."
"protectionist","should protectionist governmental policies, such as increased tariff barriers, travel limitation and other actions, have the effect of reducing global commercial activity, the result could be a material decrease in the demand for international air travel."
"increased","should protectionist governmental policies, such as increased tariff barriers, travel limitation and other actions, have the effect of reducing global commercial activity, the result could be a material decrease in the demand for international air travel."
"travel","should protectionist governmental policies, such as increased tariff barriers, travel limitation and other actions, have the effect of reducing global commercial activity, the result could be a material decrease in the demand for international air travel."
"reducing","should protectionist governmental policies, such as increased tariff barriers, travel limitation and other actions, have the effect of reducing global commercial activity, the result could be a material decrease in the demand for international air travel."
"could","should protectionist governmental policies, such as increased tariff barriers, travel limitation and other actions, have the effect of reducing global commercial activity, the result could be a material decrease in the demand for international air travel."
"NONE","the united kingdom held a referendum in june 2016 regarding its membership in the eu in which a majority of the united kingdom electorate voted in favor of the british government taking the necessary action for the united kingdom to leave the eu, an event commonly referred to as brexit."
"NONE","in march 2017, the united kingdom served notice of its decision to withdraw from the eu, formally initiating the withdrawal process."
"serving","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"began","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"negotiate","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"scheduled","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"occur","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"face","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"associated","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"following","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"may","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"flow","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"exit","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"given","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"flows","serving this notice began the two-year period for the united kingdom to negotiate the terms for its withdrawal from the eu, currently scheduled to occur on march 29, 2019.  we face risks associated with the uncertainty following the referendum and the consequences that may flow from the decision to exit the eu, notably given the extent of our passenger and cargo traffic and that of our joint business partners that flows through lhr in the united kingdom."
"NONE","absent an approved withdrawal agreement between the united kingdom and the eu (resulting in the so-called “no deal brexit” scenario), our expectation is that air services (including those involving our joint business and code share partners) will continue substantially as we currently conduct them, at least for a transition period, in reliance on reciprocal “basic connectivity” traffic rights proposed by the eu and the united kingdom and the new air services agreements between the u. s.  and united kingdom concluded on november 29, 2018.  however, the precise scope of traffic rights between the eu and the united kingdom remains uncertain and therefore the continuation is not assured and could be subject to disruption."
"NONE","if brexit is accomplished pursuant to a withdrawal agreement consistent with the agreement presently being discussed between the united kingdom and the eu, but which has yet to be approved by the united kingdom, our current air services would continue as we currently conduct them during a transition period running through the end of 2020, with a potential extension of up to two years."
"NONE","during that transition period, the united kingdom and the eu would seek to implement a new air services agreement."
"can","we cannot predict the terms of any such successor air services agreement or whether changes in the relationship between the united kingdom and the eu, including whether or not the united kingdom withdraws from the eu with or without an agreement, could materially adversely affect our business, results of operations and financial condition."
"predict","we cannot predict the terms of any such successor air services agreement or whether changes in the relationship between the united kingdom and the eu, including whether or not the united kingdom withdraws from the eu with or without an agreement, could materially adversely affect our business, results of operations and financial condition."
"including","we cannot predict the terms of any such successor air services agreement or whether changes in the relationship between the united kingdom and the eu, including whether or not the united kingdom withdraws from the eu with or without an agreement, could materially adversely affect our business, results of operations and financial condition."
"withdraws","we cannot predict the terms of any such successor air services agreement or whether changes in the relationship between the united kingdom and the eu, including whether or not the united kingdom withdraws from the eu with or without an agreement, could materially adversely affect our business, results of operations and financial condition."
"could","we cannot predict the terms of any such successor air services agreement or whether changes in the relationship between the united kingdom and the eu, including whether or not the united kingdom withdraws from the eu with or without an agreement, could materially adversely affect our business, results of operations and financial condition."
"could","moreover, the exit of the united kingdom from the eu could adversely affect european or worldwide economic or market conditions and could contribute to further instability in global financial markets."
"could","moreover, the exit of the united kingdom from the eu could adversely affect european or worldwide economic or market conditions and could contribute to further instability in global financial markets."
"contribute","moreover, the exit of the united kingdom from the eu could adversely affect european or worldwide economic or market conditions and could contribute to further instability in global financial markets."
"NONE","in addition, the exit of the united kingdom from the eu has created uncertainty as to the future trade relationship between the eu and the united kingdom, including air traffic services."
"NONE","lhr is presently a very important element of our international network, however it may become less desirable as a destination or as a hub location after brexit when compared to other airports in europe."
"could","the exit of the united kingdom from the eu could also lead to legal and regulatory uncertainty such as the identity of the relevant regulators, new regulatory action and/or potentially divergent treaties, laws and regulations as the united kingdom determines which eu treaties, laws and regulations to replace or replicate, including those governing aviation, labor, environmental, data protection/privacy, competition and other matters applicable to the provision of air transportation services by us or our alliance, joint business or codeshare partners."
"lead","the exit of the united kingdom from the eu could also lead to legal and regulatory uncertainty such as the identity of the relevant regulators, new regulatory action and/or potentially divergent treaties, laws and regulations as the united kingdom determines which eu treaties, laws and regulations to replace or replicate, including those governing aviation, labor, environmental, data protection/privacy, competition and other matters applicable to the provision of air transportation services by us or our alliance, joint business or codeshare partners."
"replace","the exit of the united kingdom from the eu could also lead to legal and regulatory uncertainty such as the identity of the relevant regulators, new regulatory action and/or potentially divergent treaties, laws and regulations as the united kingdom determines which eu treaties, laws and regulations to replace or replicate, including those governing aviation, labor, environmental, data protection/privacy, competition and other matters applicable to the provision of air transportation services by us or our alliance, joint business or codeshare partners."
"replicate","the exit of the united kingdom from the eu could also lead to legal and regulatory uncertainty such as the identity of the relevant regulators, new regulatory action and/or potentially divergent treaties, laws and regulations as the united kingdom determines which eu treaties, laws and regulations to replace or replicate, including those governing aviation, labor, environmental, data protection/privacy, competition and other matters applicable to the provision of air transportation services by us or our alliance, joint business or codeshare partners."
"including","the exit of the united kingdom from the eu could also lead to legal and regulatory uncertainty such as the identity of the relevant regulators, new regulatory action and/or potentially divergent treaties, laws and regulations as the united kingdom determines which eu treaties, laws and regulations to replace or replicate, including those governing aviation, labor, environmental, data protection/privacy, competition and other matters applicable to the provision of air transportation services by us or our alliance, joint business or codeshare partners."
"governing","the exit of the united kingdom from the eu could also lead to legal and regulatory uncertainty such as the identity of the relevant regulators, new regulatory action and/or potentially divergent treaties, laws and regulations as the united kingdom determines which eu treaties, laws and regulations to replace or replicate, including those governing aviation, labor, environmental, data protection/privacy, competition and other matters applicable to the provision of air transportation services by us or our alliance, joint business or codeshare partners."
"would","for example, in light of brexit and the related possibility that the ec would no longer have regulatory responsibility for the united kingdom when existing regulatory commitments are scheduled to expire in 2020, the united kingdom cma in october 2018 opened an investigation into our transatlantic jba."
"existing","for example, in light of brexit and the related possibility that the ec would no longer have regulatory responsibility for the united kingdom when existing regulatory commitments are scheduled to expire in 2020, the united kingdom cma in october 2018 opened an investigation into our transatlantic jba."
"scheduled","for example, in light of brexit and the related possibility that the ec would no longer have regulatory responsibility for the united kingdom when existing regulatory commitments are scheduled to expire in 2020, the united kingdom cma in october 2018 opened an investigation into our transatlantic jba."
"expire","for example, in light of brexit and the related possibility that the ec would no longer have regulatory responsibility for the united kingdom when existing regulatory commitments are scheduled to expire in 2020, the united kingdom cma in october 2018 opened an investigation into our transatlantic jba."
"opened","for example, in light of brexit and the related possibility that the ec would no longer have regulatory responsibility for the united kingdom when existing regulatory commitments are scheduled to expire in 2020, the united kingdom cma in october 2018 opened an investigation into our transatlantic jba."
"NONE","we are cooperating fully with the cma."
"replace","the impact on our business of any treaties, laws and regulations that replace the existing eu counterparts, or other 27governmental or regulatory actions taken by the united kingdom or the eu in connection with or subsequent to brexit, cannot be predicted, including whether or not regulators will continue to approve or impose material conditions on our business activities."
"existing","the impact on our business of any treaties, laws and regulations that replace the existing eu counterparts, or other 27governmental or regulatory actions taken by the united kingdom or the eu in connection with or subsequent to brexit, cannot be predicted, including whether or not regulators will continue to approve or impose material conditions on our business activities."
"taken","the impact on our business of any treaties, laws and regulations that replace the existing eu counterparts, or other 27governmental or regulatory actions taken by the united kingdom or the eu in connection with or subsequent to brexit, cannot be predicted, including whether or not regulators will continue to approve or impose material conditions on our business activities."
"can","the impact on our business of any treaties, laws and regulations that replace the existing eu counterparts, or other 27governmental or regulatory actions taken by the united kingdom or the eu in connection with or subsequent to brexit, cannot be predicted, including whether or not regulators will continue to approve or impose material conditions on our business activities."
"predicted","the impact on our business of any treaties, laws and regulations that replace the existing eu counterparts, or other 27governmental or regulatory actions taken by the united kingdom or the eu in connection with or subsequent to brexit, cannot be predicted, including whether or not regulators will continue to approve or impose material conditions on our business activities."
"including","the impact on our business of any treaties, laws and regulations that replace the existing eu counterparts, or other 27governmental or regulatory actions taken by the united kingdom or the eu in connection with or subsequent to brexit, cannot be predicted, including whether or not regulators will continue to approve or impose material conditions on our business activities."
"will","the impact on our business of any treaties, laws and regulations that replace the existing eu counterparts, or other 27governmental or regulatory actions taken by the united kingdom or the eu in connection with or subsequent to brexit, cannot be predicted, including whether or not regulators will continue to approve or impose material conditions on our business activities."
"continue","the impact on our business of any treaties, laws and regulations that replace the existing eu counterparts, or other 27governmental or regulatory actions taken by the united kingdom or the eu in connection with or subsequent to brexit, cannot be predicted, including whether or not regulators will continue to approve or impose material conditions on our business activities."
"approve","the impact on our business of any treaties, laws and regulations that replace the existing eu counterparts, or other 27governmental or regulatory actions taken by the united kingdom or the eu in connection with or subsequent to brexit, cannot be predicted, including whether or not regulators will continue to approve or impose material conditions on our business activities."
"impose","the impact on our business of any treaties, laws and regulations that replace the existing eu counterparts, or other 27governmental or regulatory actions taken by the united kingdom or the eu in connection with or subsequent to brexit, cannot be predicted, including whether or not regulators will continue to approve or impose material conditions on our business activities."
"can","any of these effects, and others we cannot anticipate, could materially adversely affect our business, results of operations and financial condition."
"anticipate","any of these effects, and others we cannot anticipate, could materially adversely affect our business, results of operations and financial condition."
"could","any of these effects, and others we cannot anticipate, could materially adversely affect our business, results of operations and financial condition."
"NONE","we are subject to many forms of environmental and noise regulation and may incur substantial costs as a result."
"NONE","we are subject to increasingly stringent federal, state, local and foreign laws, regulations and ordinances relating to the protection of the environment and noise reduction, including those relating to emissions to the air, discharges to surface and subsurface waters, safe drinking water, and the management of hazardous substances, oils and waste materials."
"can","compliance with environmental laws and regulations can require significant expenditures, and violations can lead to significant fines and penalties."
"require","compliance with environmental laws and regulations can require significant expenditures, and violations can lead to significant fines and penalties."
"can","compliance with environmental laws and regulations can require significant expenditures, and violations can lead to significant fines and penalties."
"lead","compliance with environmental laws and regulations can require significant expenditures, and violations can lead to significant fines and penalties."
"NONE","we are also subject to other environmental laws and regulations, including those that require us to investigate and remediate soil or groundwater to meet certain remediation standards."
"NONE","under federal law, generators of waste materials, and current and former owners or operators of facilities, can be subject to liability for investigation and remediation costs at locations that have been identified as requiring response actions."
"NONE","liability under these laws may be strict, joint and several, meaning that we could be liable for the costs of cleaning up environmental contamination regardless of fault or the amount of waste directly attributable to us."
"expected","we have liability for investigation and remediation costs at various sites, although such costs currently are not expected to have a material adverse effect on our business."
"NONE","we have various leases and agreements with respect to real property, tanks and pipelines with airports and other operators."
"agreed","under these leases and agreements, we have agreed to indemnify the lessor or operator against environmental liabilities associated with the real property or operations described under the agreement, in some cases even if we are not the party responsible for the initial event that caused the environmental damage."
"indemnify","under these leases and agreements, we have agreed to indemnify the lessor or operator against environmental liabilities associated with the real property or operations described under the agreement, in some cases even if we are not the party responsible for the initial event that caused the environmental damage."
"associated","under these leases and agreements, we have agreed to indemnify the lessor or operator against environmental liabilities associated with the real property or operations described under the agreement, in some cases even if we are not the party responsible for the initial event that caused the environmental damage."
"described","under these leases and agreements, we have agreed to indemnify the lessor or operator against environmental liabilities associated with the real property or operations described under the agreement, in some cases even if we are not the party responsible for the initial event that caused the environmental damage."
"NONE","we also participate in leases with other airlines in fuel consortiums and fuel committees at airports, where such indemnities are generally joint and several among the participating airlines."
"NONE","governmental authorities in several u. s.  and foreign cities are also considering, or have already implemented, aircraft noise reduction programs, including the imposition of nighttime curfews and limitations on daytime take offs and landings."
"accommodate","we have been able to accommodate local noise restrictions imposed to date, but our operations could be adversely affected if locally-imposed regulations become more restrictive or widespread."
"imposed","we have been able to accommodate local noise restrictions imposed to date, but our operations could be adversely affected if locally-imposed regulations become more restrictive or widespread."
"could","we have been able to accommodate local noise restrictions imposed to date, but our operations could be adversely affected if locally-imposed regulations become more restrictive or widespread."
"imposed","we have been able to accommodate local noise restrictions imposed to date, but our operations could be adversely affected if locally-imposed regulations become more restrictive or widespread."
"become","we have been able to accommodate local noise restrictions imposed to date, but our operations could be adversely affected if locally-imposed regulations become more restrictive or widespread."
"protect","our intellectual property rights, particularly our branding rights, are valuable, and any inability to protect them may adversely affect our business and financial results."
"may","our intellectual property rights, particularly our branding rights, are valuable, and any inability to protect them may adversely affect our business and financial results."
"NONE","we consider our intellectual property rights, particularly our branding rights such as our trademarks applicable to our airline and aadvantage loyalty program, to be a significant and valuable aspect of our business."
"NONE","we protect our intellectual property rights through a combination of trademark, copyright and other forms of legal protection, contractual agreements and policing of third-party misuses of our intellectual property."
"obtain","our failure to obtain or adequately protect our intellectual property or any change in law that lessens or removes the current legal protections of our intellectual property may diminish our competitiveness and adversely affect our business and financial results."
"protect","our failure to obtain or adequately protect our intellectual property or any change in law that lessens or removes the current legal protections of our intellectual property may diminish our competitiveness and adversely affect our business and financial results."
"lessens","our failure to obtain or adequately protect our intellectual property or any change in law that lessens or removes the current legal protections of our intellectual property may diminish our competitiveness and adversely affect our business and financial results."
"removes","our failure to obtain or adequately protect our intellectual property or any change in law that lessens or removes the current legal protections of our intellectual property may diminish our competitiveness and adversely affect our business and financial results."
"may","our failure to obtain or adequately protect our intellectual property or any change in law that lessens or removes the current legal protections of our intellectual property may diminish our competitiveness and adversely affect our business and financial results."
"diminish","our failure to obtain or adequately protect our intellectual property or any change in law that lessens or removes the current legal protections of our intellectual property may diminish our competitiveness and adversely affect our business and financial results."
"regarding","any litigation or disputes regarding intellectual property may be costly and time-consuming and may divert the attention of our management and key personnel from our business operations, either of which may adversely affect our business and financial results."
"may","any litigation or disputes regarding intellectual property may be costly and time-consuming and may divert the attention of our management and key personnel from our business operations, either of which may adversely affect our business and financial results."
"consuming","any litigation or disputes regarding intellectual property may be costly and time-consuming and may divert the attention of our management and key personnel from our business operations, either of which may adversely affect our business and financial results."
"may","any litigation or disputes regarding intellectual property may be costly and time-consuming and may divert the attention of our management and key personnel from our business operations, either of which may adversely affect our business and financial results."
"divert","any litigation or disputes regarding intellectual property may be costly and time-consuming and may divert the attention of our management and key personnel from our business operations, either of which may adversely affect our business and financial results."
"may","any litigation or disputes regarding intellectual property may be costly and time-consuming and may divert the attention of our management and key personnel from our business operations, either of which may adversely affect our business and financial results."
"NONE","we are subject to risks associated with climate change, including increased regulation to reduce emissions of greenhouse gases."
"NONE","there is increasing global regulatory focus on climate change and ghg emissions."
